datetime,user,msg
2019-08-28 02:35:00,Malik,t ap isy glt adt khty
2019-08-28 02:35:00,SubTain Malik,Mtlb mnany ka easy hal
2019-08-28 02:36:00,SubTain Malik,Kxh b ho
2019-08-28 02:36:00,Malik,sahe sahe
2019-08-28 02:36:00,SubTain Malik,Thora hot kryn thora seduce kryn r adha ghnta ghnta romance kryn bnda sai
2019-08-28 02:36:00,Malik,🤣 kb ?
2019-08-28 02:37:00,SubTain Malik,Jb b in m sy kch b hn
2019-08-28 02:37:00,SubTain Malik,Apko t easy solution mil gya
2019-08-28 02:37:00,Malik,In m s kch b krny.k zwrort ne
2019-08-28 02:37:00,Malik,bss huggi zor s
2019-08-28 02:37:00,SubTain Malik,G wo b h
2019-08-28 02:37:00,Malik,g
2019-08-28 02:37:00,SubTain Malik,But ye b h
2019-08-28 02:37:00,SubTain Malik,😂 😂
2019-08-28 02:38:00,Malik,hahhaha
2019-08-28 02:38:00,Malik,paglloo
2019-08-28 02:38:00,SubTain Malik,Toh control krny ki try krta m
2019-08-28 02:38:00,Malik,Mjy sula ly dy phly
2019-08-28 02:38:00,SubTain Malik,G?
2019-08-28 02:38:00,Malik,sula dy**
2019-08-28 02:39:00,SubTain Malik,G so jyn
2019-08-28 02:39:00,Malik,Thek
2019-08-28 02:39:00,Malik,😘
2019-08-28 02:39:00,SubTain Malik,☺
2019-08-28 02:39:00,SubTain Malik,Sweet dreams he
2019-08-28 02:39:00,SubTain Malik,♥ *
2019-08-28 02:39:00,Malik,☺
2019-08-28 02:39:00,SubTain Malik,😍
2019-08-28 02:40:00,Malik,huggi kr le
2019-08-28 02:40:00,SubTain Malik,Ahhhhhh
2019-08-28 02:40:00,Malik,☺
2019-08-28 02:40:00,SubTain Malik,☺
2019-08-28 07:24:00,SubTain Malik,Aj ni jagana apko kal kafi thak gai thin ap
2019-08-28 07:25:00,SubTain Malik,Umah on ur forehead
2019-08-28 07:25:00,SubTain Malik,M uthta ab
2019-08-28 10:33:00,Malik,☺
2019-08-28 10:35:00,SubTain Malik,Me going
2019-08-28 10:35:00,Malik,is tike
2019-08-28 10:35:00,Malik,time**
2019-08-28 10:36:00,Malik,late ne h gy
2019-08-28 10:36:00,Malik,hugggi t kr jy
2019-08-28 10:37:00,SubTain Malik,Done
2019-08-28 10:38:00,SubTain Malik,G nahana tha bas
2019-08-28 10:38:00,SubTain Malik,Nail b ktny thy
2019-08-28 10:39:00,Malik,Aww mry sughar Mian g
2019-08-28 10:39:00,Malik,Acha jayej
2019-08-28 10:39:00,SubTain Malik,Sughar?
2019-08-28 10:39:00,Malik,Sughar
2019-08-28 10:40:00,Malik,nt Sugar
2019-08-28 10:41:00,SubTain Malik,Mtlb kia iska?
2019-08-28 10:46:00,Malik,Saleqa mand
2019-08-28 10:48:00,SubTain Malik,Alright
2019-08-28 10:48:00,SubTain Malik,Pele dfa suna
2019-08-28 10:48:00,Malik,Achan
2019-08-28 10:48:00,Malik,Nakk chirruu
2019-08-28 10:48:00,Malik,ya t ne na suna phle dfa 🤣
2019-08-28 10:51:00,SubTain Malik,Hahah g
2019-08-28 11:15:00,Malik,hasty rha kry
2019-08-28 11:15:00,SubTain Malik,Ap b
2019-08-28 11:15:00,SubTain Malik,R ek bt
2019-08-28 11:15:00,Malik,ggg mre jan
2019-08-28 11:16:00,SubTain Malik,Mera dil kar raha apki dst ki btyn sun ky main dbara strong krun apni insta ki profile
2019-08-28 11:16:00,Malik,Hayy ♥
2019-08-28 11:16:00,Malik,Dost k bat sun k buddi kalap kalap k thak ge khair kse k khny p e sai kry t sai
2019-08-28 11:17:00,SubTain Malik,😂 😂
2019-08-28 11:17:00,Malik,😂👊🏻
2019-08-28 11:17:00,SubTain Malik,Insta ki profile krni apny ap ko ni krna
2019-08-28 11:17:00,SubTain Malik,Budi yehi kehti thi apny ap ko kryn
2019-08-28 11:17:00,Malik,👻🤣 acha
2019-08-28 11:43:00,SubTain Malik,G
2019-08-28 11:44:00,Malik,Hamary hostl m ek lrki h NUST ke
2019-08-28 11:44:00,Malik,uff w bss NUST ke mala e japti rehti 🤣🤣
2019-08-28 11:45:00,SubTain Malik,Acha g
2019-08-28 11:46:00,SubTain Malik,You deleted this message
2019-08-28 11:47:00,Malik,g
2019-08-28 11:53:00,Malik,uummahh on ur forhead
2019-08-28 11:58:00,SubTain Malik,M lab hn pagal
